method,split,risk_budget,seed,episodes,success,shape_error,memory_error,memory_calibration_error,mechanism_macro_f1,tail_risk,damage_rate,force_clip_rate,contact_rate,diagnostic_rate,max_stretch,strain_energy
action_conditioned_memory,combined_memory_stress,0.10,0,8,0.37500,0.13495,0.16526,0.03875,0.62500,0.62500,0.62500,0.02708,0.35208,0.25000,2.19044,0.98634
action_conditioned_memory,combined_memory_stress,0.10,1,8,0.62500,0.14609,0.25630,0.12692,0.50000,0.37500,0.12500,0.03958,0.03125,0.00000,2.30624,1.13635
action_conditioned_memory,combined_memory_stress,0.10,2,8,0.50000,0.14107,0.20193,0.08459,0.37500,0.50000,0.37500,0.04167,0.11667,0.12500,2.29795,1.15362
action_conditioned_memory,combined_memory_stress,0.10,3,8,0.62500,0.14163,0.22822,0.09258,0.75000,0.37500,0.00000,0.02083,0.09583,0.00000,1.99847,0.93047
action_conditioned_memory,combined_memory_stress,0.10,4,8,0.75000,0.14145,0.22583,0.10271,0.62500,0.25000,0.25000,0.02500,0.18959,0.12500,2.15377,1.03152
action_conditioned_memory,combined_memory_stress,0.10,5,8,0.50000,0.14270,0.26312,0.13758,0.62500,0.50000,0.12500,0.02083,0.11042,0.00000,2.12388,0.94024
action_conditioned_memory,combined_memory_stress,0.10,6,8,0.50000,0.14375,0.20552,0.10181,0.50000,0.50000,0.12500,0.02291,0.13333,0.00000,2.17265,0.94912
action_conditioned_memory,combined_memory_stress,0.10,7,8,0.50000,0.14092,0.18609,0.07329,0.62500,0.50000,0.25000,0.02708,0.24167,0.12500,2.13411,1.02012
action_conditioned_memory,combined_memory_stress,0.20,0,8,0.12500,0.13048,0.16526,0.03875,0.50000,0.87500,0.87500,0.03542,0.52917,1.00000,2.28296,1.10683
action_conditioned_memory,combined_memory_stress,0.20,1,8,0.37500,0.14087,0.25630,0.12692,0.50000,0.62500,0.50000,0.04167,0.26250,0.87500,2.30507,1.19939
action_conditioned_memory,combined_memory_stress,0.20,2,8,0.62500,0.13119,0.20193,0.08459,0.62500,0.37500,0.37500,0.03958,0.19792,1.00000,2.42194,1.09433
action_conditioned_memory,combined_memory_stress,0.20,3,8,0.12500,0.13910,0.22822,0.09258,0.50000,0.87500,0.75000,0.03333,0.47917,1.00000,2.32713,1.13539
action_conditioned_memory,combined_memory_stress,0.20,4,8,0.37500,0.13612,0.22583,0.10271,0.50000,0.62500,0.50000,0.03542,0.28750,1.00000,2.27275,1.13995
action_conditioned_memory,combined_memory_stress,0.20,5,8,0.12500,0.13666,0.26312,0.13758,0.50000,0.87500,0.87500,0.03333,0.39583,1.00000,2.40139,1.18141
action_conditioned_memory,combined_memory_stress,0.20,6,8,0.37500,0.14303,0.20552,0.10181,0.50000,0.62500,0.50000,0.03542,0.38542,1.00000,2.26352,1.16677
action_conditioned_memory,combined_memory_stress,0.20,7,8,0.37500,0.13875,0.18609,0.07329,0.50000,0.62500,0.62500,0.02917,0.42917,1.00000,2.32975,1.16654
action_conditioned_memory,combined_memory_stress,0.30,0,8,0.12500,0.13048,0.16526,0.03875,0.50000,0.87500,0.87500,0.03542,0.52917,1.00000,2.28296,1.10683
action_conditioned_memory,combined_memory_stress,0.30,1,8,0.37500,0.14087,0.25630,0.12692,0.50000,0.62500,0.50000,0.04167,0.26250,0.87500,2.30507,1.19939
action_conditioned_memory,combined_memory_stress,0.30,2,8,0.62500,0.13119,0.20193,0.08459,0.62500,0.37500,0.37500,0.03958,0.19792,1.00000,2.42194,1.09433
action_conditioned_memory,combined_memory_stress,0.30,3,8,0.12500,0.13910,0.22822,0.09258,0.50000,0.87500,0.75000,0.03333,0.47917,1.00000,2.32713,1.13539
action_conditioned_memory,combined_memory_stress,0.30,4,8,0.37500,0.13612,0.22583,0.10271,0.50000,0.62500,0.50000,0.03542,0.28750,1.00000,2.27275,1.13995
action_conditioned_memory,combined_memory_stress,0.30,5,8,0.12500,0.13666,0.26312,0.13758,0.50000,0.87500,0.87500,0.03333,0.39583,1.00000,2.40139,1.18141
action_conditioned_memory,combined_memory_stress,0.30,6,8,0.37500,0.14303,0.20552,0.10181,0.50000,0.62500,0.50000,0.03542,0.38542,1.00000,2.26352,1.16677
action_conditioned_memory,combined_memory_stress,0.30,7,8,0.37500,0.13875,0.18609,0.07329,0.50000,0.62500,0.62500,0.02917,0.42917,1.00000,2.32975,1.16654
action_conditioned_memory,combined_memory_stress,0.40,0,8,0.12500,0.13048,0.16526,0.03875,0.50000,0.87500,0.87500,0.03542,0.52917,1.00000,2.28296,1.10683
action_conditioned_memory,combined_memory_stress,0.40,1,8,0.37500,0.14087,0.25630,0.12692,0.50000,0.62500,0.50000,0.04167,0.26250,0.87500,2.30507,1.19939
action_conditioned_memory,combined_memory_stress,0.40,2,8,0.62500,0.13119,0.20193,0.08459,0.62500,0.37500,0.37500,0.03958,0.19792,1.00000,2.42194,1.09433
action_conditioned_memory,combined_memory_stress,0.40,3,8,0.12500,0.13910,0.22822,0.09258,0.50000,0.87500,0.75000,0.03333,0.47917,1.00000,2.32713,1.13539
action_conditioned_memory,combined_memory_stress,0.40,4,8,0.37500,0.13612,0.22583,0.10271,0.50000,0.62500,0.50000,0.03542,0.28750,1.00000,2.27275,1.13995
action_conditioned_memory,combined_memory_stress,0.40,5,8,0.12500,0.13666,0.26312,0.13758,0.50000,0.87500,0.87500,0.03333,0.39583,1.00000,2.40139,1.18141
action_conditioned_memory,combined_memory_stress,0.40,6,8,0.37500,0.14303,0.20552,0.10181,0.50000,0.62500,0.50000,0.03542,0.38542,1.00000,2.26352,1.16677
action_conditioned_memory,combined_memory_stress,0.40,7,8,0.37500,0.13875,0.18609,0.07329,0.50000,0.62500,0.62500,0.02917,0.42917,1.00000,2.32975,1.16654
action_conditioned_memory,hidden_strain_memory,0.10,0,8,0.50000,0.14409,0.19955,0.09277,0.62500,0.50000,0.12500,0.00834,0.05833,0.50000,2.23741,1.07270
action_conditioned_memory,hidden_strain_memory,0.10,1,8,0.62500,0.13625,0.17761,0.06811,0.75000,0.37500,0.12500,0.00625,0.00000,0.62500,2.29869,0.95580
action_conditioned_memory,hidden_strain_memory,0.10,2,8,0.37500,0.14159,0.23504,0.11470,0.50000,0.62500,0.25000,0.00834,0.13542,0.12500,2.28227,1.16570
action_conditioned_memory,hidden_strain_memory,0.10,3,8,0.50000,0.14381,0.14158,0.03397,0.75000,0.50000,0.25000,0.00834,0.06042,0.37500,2.34370,1.10352
action_conditioned_memory,hidden_strain_memory,0.10,4,8,0.37500,0.14401,0.21188,0.10168,0.75000,0.62500,0.25000,0.00625,0.07708,0.62500,2.34067,1.03695
action_conditioned_memory,hidden_strain_memory,0.10,5,8,0.37500,0.14740,0.20638,0.09360,0.50000,0.62500,0.37500,0.00834,0.16875,0.50000,2.23750,1.05148
action_conditioned_memory,hidden_strain_memory,0.10,6,8,0.50000,0.14567,0.16761,0.06651,0.62500,0.50000,0.12500,0.00417,0.18333,0.75000,2.25803,1.11278
action_conditioned_memory,hidden_strain_memory,0.10,7,8,0.62500,0.14457,0.14595,0.03266,0.75000,0.37500,0.12500,0.00625,0.03958,0.37500,2.25723,0.99368
action_conditioned_memory,hidden_strain_memory,0.20,0,8,0.50000,0.14133,0.19955,0.09277,0.62500,0.50000,0.37500,0.01042,0.12083,0.87500,2.41392,1.14258
action_conditioned_memory,hidden_strain_memory,0.20,1,8,0.62500,0.13859,0.17761,0.06811,0.75000,0.37500,0.25000,0.00834,0.03542,0.87500,2.42647,1.13107
action_conditioned_memory,hidden_strain_memory,0.20,2,8,0.12500,0.14546,0.23504,0.11470,0.62500,0.87500,0.75000,0.01042,0.35000,1.00000,2.30370,1.17615
action_conditioned_memory,hidden_strain_memory,0.20,3,8,0.50000,0.14184,0.14158,0.03397,0.62500,0.50000,0.37500,0.00834,0.21875,0.87500,2.42053,1.14540
action_conditioned_memory,hidden_strain_memory,0.20,4,8,0.50000,0.13601,0.21188,0.10168,0.62500,0.50000,0.37500,0.01042,0.18542,1.00000,2.38005,1.14087
action_conditioned_memory,hidden_strain_memory,0.20,5,8,0.37500,0.13971,0.20638,0.09360,0.62500,0.62500,0.62500,0.00834,0.31875,1.00000,2.41165,1.14663
action_conditioned_memory,hidden_strain_memory,0.20,6,8,0.50000,0.14484,0.16761,0.06651,0.75000,0.50000,0.25000,0.00625,0.18333,1.00000,2.35902,1.16297
action_conditioned_memory,hidden_strain_memory,0.20,7,8,0.62500,0.13875,0.14595,0.03266,0.62500,0.37500,0.37500,0.01250,0.19375,1.00000,2.41203,1.13914
action_conditioned_memory,hidden_strain_memory,0.30,0,8,0.50000,0.14133,0.19955,0.09277,0.62500,0.50000,0.37500,0.01042,0.12083,0.87500,2.41392,1.14258
action_conditioned_memory,hidden_strain_memory,0.30,1,8,0.62500,0.13859,0.17761,0.06811,0.75000,0.37500,0.25000,0.00834,0.03542,0.87500,2.42647,1.13107
action_conditioned_memory,hidden_strain_memory,0.30,2,8,0.12500,0.14546,0.23504,0.11470,0.62500,0.87500,0.75000,0.01042,0.35000,1.00000,2.30370,1.17615
action_conditioned_memory,hidden_strain_memory,0.30,3,8,0.50000,0.14184,0.14158,0.03397,0.62500,0.50000,0.37500,0.00834,0.21875,0.87500,2.42053,1.14540
action_conditioned_memory,hidden_strain_memory,0.30,4,8,0.50000,0.13601,0.21188,0.10168,0.62500,0.50000,0.37500,0.01042,0.18542,1.00000,2.38005,1.14087
action_conditioned_memory,hidden_strain_memory,0.30,5,8,0.37500,0.13971,0.20638,0.09360,0.62500,0.62500,0.62500,0.00834,0.31875,1.00000,2.41165,1.14663
action_conditioned_memory,hidden_strain_memory,0.30,6,8,0.50000,0.14484,0.16761,0.06651,0.75000,0.50000,0.25000,0.00625,0.18333,1.00000,2.35902,1.16297
action_conditioned_memory,hidden_strain_memory,0.30,7,8,0.62500,0.13875,0.14595,0.03266,0.62500,0.37500,0.37500,0.01250,0.19375,1.00000,2.41203,1.13914
action_conditioned_memory,hidden_strain_memory,0.40,0,8,0.50000,0.14133,0.19955,0.09277,0.62500,0.50000,0.37500,0.01042,0.12083,0.87500,2.41392,1.14258
action_conditioned_memory,hidden_strain_memory,0.40,1,8,0.62500,0.13859,0.17761,0.06811,0.75000,0.37500,0.25000,0.00834,0.03542,0.87500,2.42647,1.13107
action_conditioned_memory,hidden_strain_memory,0.40,2,8,0.12500,0.14546,0.23504,0.11470,0.62500,0.87500,0.75000,0.01042,0.35000,1.00000,2.30370,1.17615
action_conditioned_memory,hidden_strain_memory,0.40,3,8,0.50000,0.14184,0.14158,0.03397,0.62500,0.50000,0.37500,0.00834,0.21875,0.87500,2.42053,1.14540
action_conditioned_memory,hidden_strain_memory,0.40,4,8,0.50000,0.13601,0.21188,0.10168,0.62500,0.50000,0.37500,0.01042,0.18542,1.00000,2.38005,1.14087
action_conditioned_memory,hidden_strain_memory,0.40,5,8,0.37500,0.13971,0.20638,0.09360,0.62500,0.62500,0.62500,0.00834,0.31875,1.00000,2.41165,1.14663
action_conditioned_memory,hidden_strain_memory,0.40,6,8,0.50000,0.14484,0.16761,0.06651,0.75000,0.50000,0.25000,0.00625,0.18333,1.00000,2.35902,1.16297
action_conditioned_memory,hidden_strain_memory,0.40,7,8,0.62500,0.13875,0.14595,0.03266,0.62500,0.37500,0.37500,0.01250,0.19375,1.00000,2.41203,1.13914
action_conditioned_memory,occluded_contact_memory,0.10,0,8,0.37500,0.14970,0.20802,0.09606,0.50000,0.62500,0.25000,0.01459,0.10625,0.00000,2.20544,1.15206
action_conditioned_memory,occluded_contact_memory,0.10,1,8,0.37500,0.13772,0.17824,0.06155,0.37500,0.62500,0.25000,0.01250,0.08333,0.00000,2.40103,1.08336
action_conditioned_memory,occluded_contact_memory,0.10,2,8,0.50000,0.13973,0.12900,0.02515,0.50000,0.50000,0.25000,0.01250,0.11042,0.12500,2.35989,1.14479
action_conditioned_memory,occluded_contact_memory,0.10,3,8,0.50000,0.14460,0.10690,0.02423,0.62500,0.50000,0.25000,0.01458,0.00625,0.00000,2.36353,1.08788
action_conditioned_memory,occluded_contact_memory,0.10,4,8,0.62500,0.13596,0.18207,0.06034,0.75000,0.37500,0.00000,0.01250,0.02708,0.12500,2.14016,1.11311
action_conditioned_memory,occluded_contact_memory,0.10,5,8,0.37500,0.14653,0.17767,0.04346,0.50000,0.62500,0.25000,0.01042,0.07292,0.12500,2.31585,1.02066
action_conditioned_memory,occluded_contact_memory,0.10,6,8,0.37500,0.14520,0.17841,0.06339,0.50000,0.62500,0.37500,0.01250,0.15417,0.25000,2.36633,1.08785
action_conditioned_memory,occluded_contact_memory,0.10,7,8,0.00000,0.15135,0.18874,0.07733,0.37500,1.00000,0.50000,0.01458,0.16458,0.00000,2.31561,1.07085
action_conditioned_memory,occluded_contact_memory,0.20,0,8,0.12500,0.14448,0.20802,0.09606,0.50000,0.87500,0.62500,0.00834,0.38958,0.87500,2.35603,1.15904
action_conditioned_memory,occluded_contact_memory,0.20,1,8,0.25000,0.13905,0.17824,0.06155,0.50000,0.75000,0.62500,0.01042,0.31458,1.00000,2.47994,1.13336
action_conditioned_memory,occluded_contact_memory,0.20,2,8,0.25000,0.14480,0.12900,0.02515,0.50000,0.75000,0.50000,0.01042,0.26458,1.00000,2.38171,1.15684
action_conditioned_memory,occluded_contact_memory,0.20,3,8,0.50000,0.13968,0.10690,0.02423,0.50000,0.50000,0.37500,0.01250,0.16667,0.87500,2.36398,1.11896
action_conditioned_memory,occluded_contact_memory,0.20,4,8,0.62500,0.13614,0.18207,0.06034,0.50000,0.37500,0.37500,0.01042,0.09375,1.00000,2.38308,1.09387
action_conditioned_memory,occluded_contact_memory,0.20,5,8,0.37500,0.14542,0.17767,0.04346,0.37500,0.62500,0.50000,0.01042,0.24792,0.87500,2.46116,1.17395
action_conditioned_memory,occluded_contact_memory,0.20,6,8,0.25000,0.14205,0.17841,0.06339,0.50000,0.75000,0.62500,0.01250,0.33958,1.00000,2.37915,1.14901
action_conditioned_memory,occluded_contact_memory,0.20,7,8,0.37500,0.13772,0.18874,0.07733,0.62500,0.62500,0.50000,0.01042,0.23542,0.75000,2.53753,1.15053
action_conditioned_memory,occluded_contact_memory,0.30,0,8,0.12500,0.14448,0.20802,0.09606,0.50000,0.87500,0.62500,0.00834,0.38958,0.87500,2.35603,1.15904
action_conditioned_memory,occluded_contact_memory,0.30,1,8,0.25000,0.13905,0.17824,0.06155,0.50000,0.75000,0.62500,0.01042,0.31458,1.00000,2.47994,1.13336
action_conditioned_memory,occluded_contact_memory,0.30,2,8,0.25000,0.14480,0.12900,0.02515,0.50000,0.75000,0.50000,0.01042,0.26458,1.00000,2.38171,1.15684
action_conditioned_memory,occluded_contact_memory,0.30,3,8,0.50000,0.13968,0.10690,0.02423,0.50000,0.50000,0.37500,0.01250,0.16667,0.87500,2.36398,1.11896
action_conditioned_memory,occluded_contact_memory,0.30,4,8,0.62500,0.13614,0.18207,0.06034,0.50000,0.37500,0.37500,0.01042,0.09375,1.00000,2.38308,1.09387
action_conditioned_memory,occluded_contact_memory,0.30,5,8,0.37500,0.14542,0.17767,0.04346,0.37500,0.62500,0.50000,0.01042,0.24792,0.87500,2.46116,1.17395
action_conditioned_memory,occluded_contact_memory,0.30,6,8,0.25000,0.14205,0.17841,0.06339,0.50000,0.75000,0.62500,0.01250,0.33958,1.00000,2.37915,1.14901
action_conditioned_memory,occluded_contact_memory,0.30,7,8,0.37500,0.13772,0.18874,0.07733,0.62500,0.62500,0.50000,0.01042,0.23542,0.75000,2.53753,1.15053
action_conditioned_memory,occluded_contact_memory,0.40,0,8,0.12500,0.14448,0.20802,0.09606,0.50000,0.87500,0.62500,0.00834,0.38958,0.87500,2.35603,1.15904
