rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,arxiv:2303.01310v3,Learning Language-Conditioned Deformable Object Manipulation with Graph Dynamics,2023,arXiv,http://arxiv.org/abs/2303.01310v3,Addresses deformable object manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Deformable memory under action keeps action-critical alternatives explicit until a physical observation collapses them.
2,doi:10.1177/02783649231191222,Action-conditional implicit visual dynamics for deformable object manipulation,2024,The International Journal of Robotics Research,https://doi.org/10.1177/02783649231191222,Addresses deformable object manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Deformable memory under action keeps action-critical alternatives explicit until a physical observation collapses them.
3,doi:10.1145/2494532,Visual object detection with deformable part models,2013,Communications of the ACM,https://doi.org/10.1145/2494532,Addresses deformable object manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Deformable memory under action keeps action-critical alternatives explicit until a physical observation collapses them.
4,arxiv:2303.11057v3,Learning Foresightful Dense Visual Affordance for Deformable Object Manipulation,2023,arXiv,http://arxiv.org/abs/2303.11057v3,Addresses deformable object manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Deformable memory under action keeps action-critical alternatives explicit until a physical observation collapses them.
5,doi:10.1109/tnnls.2022.3208605,Learning Dynamic Compact Memory Embedding for Deformable Visual Object Tracking,2024,IEEE Transactions on Neural Networks and Learning Systems,https://doi.org/10.1109/tnnls.2022.3208605,Addresses deformable object manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Deformable memory under action keeps action-critical alternatives explicit until a physical observation collapses them.
6,doi:10.1109/lra.2022.3227873,Sim-to-Real Transfer for Visual Reinforcement Learning of Deformable Object Manipulation for Robot-Assisted Surgery,2023,IEEE Robotics and Automation Letters,https://doi.org/10.1109/lra.2022.3227873,Addresses deformable object manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Deformable memory under action keeps action-critical alternatives explicit until a physical observation collapses them.
7,arxiv:2003.08974v1,Latent Space Roadmap for Visual Action Planning of Deformable and Rigid Object Manipulation,2020,arXiv,http://arxiv.org/abs/2003.08974v1,Addresses deformable object manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Deformable memory under action keeps action-critical alternatives explicit until a physical observation collapses them.
8,doi:10.1007/s40747-023-01048-w,Learning visual-based deformable object rearrangement with local graph neural networks,2023,Complex & Intelligent Systems,https://doi.org/10.1007/s40747-023-01048-w,Addresses deformable object manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Deformable memory under action keeps action-critical alternatives explicit until a physical observation collapses them.
9,doi:10.1016/j.cirp.2022.04.048,On deformable object handling: Model-based motion planning for human-robot co-manipulation,2022,CIRP Annals,https://doi.org/10.1016/j.cirp.2022.04.048,Addresses deformable object manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Deformable memory under action keeps action-critical alternatives explicit until a physical observation collapses them.
10,arxiv:2606.04269v1,Instant-Fold: In-Context Imitation Learning for Deformable Object Manipulation,2026,arXiv,http://arxiv.org/abs/2606.04269v1,Addresses deformable object manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Deformable memory under action keeps action-critical alternatives explicit until a physical observation collapses them.
